"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\StockIcon.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 1, 17
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\ToolsIcon.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 2, 20
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\ToothPasteIcon.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\TrashIcon.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\TuercasIcon.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\UnlockIcon.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 2, 20
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\UserCircleIcon.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 0, 0, 2, 22
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\UserIcon.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 2, 20
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\UsersIcon.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 2, 20
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\VentasIcon.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 2, 20
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\constancia.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 0, 0, 6, 21
"c:\NEW_PLAZA\plazadental-v2\frontend\src\index.css", "CSS", 0, 0, 0, 2223, 0, 0, 79, 514, 2816
"c:\NEW_PLAZA\plazadental-v2\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 81, 0, 0, 0, 1, 4, 86
"c:\NEW_PLAZA\plazadental-v2\frontend\src\reportes\GroupingControles.jsx", "JavaScript JSX", 0, 0, 208, 0, 0, 0, 2, 23, 233
"c:\NEW_PLAZA\plazadental-v2\frontend\src\reportes\ListaControles.jsx", "JavaScript JSX", 0, 0, 155, 0, 0, 0, 0, 8, 163
"c:\NEW_PLAZA\plazadental-v2\frontend\src\reportes\ListaDoctores.jsx", "JavaScript JSX", 0, 0, 90, 0, 0, 0, 0, 8, 98
"c:\NEW_PLAZA\plazadental-v2\frontend\src\reportes\ListaPacientes.jsx", "JavaScript JSX", 0, 0, 173, 0, 0, 0, 3, 14, 190
"c:\NEW_PLAZA\plazadental-v2\frontend\src\reportes\ListaServicios.jsx", "JavaScript JSX", 0, 0, 114, 0, 0, 0, 0, 11, 125
"c:\NEW_PLAZA\plazadental-v2\frontend\src\reportes\ReporteCuadres.jsx", "JavaScript JSX", 0, 0, 78, 0, 0, 0, 0, 10, 88
"c:\NEW_PLAZA\plazadental-v2\frontend\src\reportes\ReporteGastos.jsx", "JavaScript JSX", 0, 0, 123, 0, 0, 0, 1, 13, 137
"c:\NEW_PLAZA\plazadental-v2\frontend\src\screens\ControlCreateScreen.jsx", "JavaScript JSX", 0, 0, 676, 0, 0, 0, 8, 55, 739
